Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
449,VINAY KUMAR ALIAS VINNU,Shrawasti,INC,4,Doctorate,"Rs 1,57,43,200  ~ 1 Crore+","Rs 5,89,157  ~ 5 Lacs+"
18,RAKESH PANDEY,Ambedkar Nagar,BSP,3,8th Pass,"Rs 16,40,78,904  ~ 16 Crore+",Rs 0  ~
34,PRADEEP KUMAR SINGH,Araria,BJP,3,10th Pass,"Rs 2,57,014  ~ 2 Lacs+","Rs 7,64,726  ~ 7 Lacs+"
57,H D KUMARA SWAMY,Bangalore Rural,JD(S),3,Graduate,"Rs 49,16,83,477  ~ 49 Crore+","Rs 33,62,37,223  ~ 33 Crore+"
129,PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP,3,5th Pass,"Rs 8,34,94,860  ~ 8 Crore+","Rs 34,26,035  ~ 34 Lacs+"
134,KIRTI AZAD,Darbhanga,BJP,3,Graduate,"Rs 97,89,047  ~ 97 Lacs+",Rs 0  ~
153,SHIBU SOREN,Dumka,JMM,3,10th Pass,"Rs 82,29,419  ~ 82 Lacs+","Rs 72,65,635  ~ 72 Lacs+"
187,SAMBASIVA RAO RAYAPATI,Guntur,INC,3,Graduate,"Rs 14,71,43,582  ~ 14 Crore+","Rs 4,52,04,329  ~ 4 Crore+"
220,DANVE RAOSAHEB DADARAO,Jalna,BJP,3,12th Pass,"Rs 2,42,71,518  ~ 2 Crore+","Rs 5,30,771  ~ 5 Lacs+"
253,K Sudhakaran Kavinte Arikathu,Kannur,INC,3,Post Graduate,"Rs 73,59,040  ~ 73 Lacs+","Rs 6,00,000  ~ 6 Lacs+"
256,Mahabali Singh,Karakat,JD(U),3,8th Pass,"Rs 61,94,257  ~ 61 Lacs+",Rs 0  ~
290,SUGAVANAM. E.G.,Krishnagiri,DMK,3,12th Pass,"Rs 1,69,74,157  ~ 1 Crore+","Rs 5,00,000  ~ 5 Lacs+"
382,PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP,3,10th Pass,"Rs 72,55,000  ~ 72 Lacs+",Rs 0  ~
412,KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC,3,Graduate,"Rs 45,60,852  ~ 45 Lacs+","Rs 5,99,799  ~ 5 Lacs+"
439,GANESH SINGH,Satna,BJP,3,Post Graduate,"Rs 73,72,032  ~ 73 Lacs+","Rs 16,585  ~ 16 Thou+"
473,ADHIKARI SUVENDU,Tamluk,AITC,3,Graduate,"Rs 47,51,934  ~ 47 Lacs+",Rs 0  ~
487,SIVASAMI C,Tiruppur,ADMK,3,Post Graduate,"Rs 5,18,92,954  ~ 5 Crore+",Rs 0  ~
498,GUDDU PREMCHAND,Ujjain,INC,3,5th Pass,"Rs 10,50,31,313  ~ 10 Crore+","Rs 15,00,000  ~ 15 Lacs+"
501,Ananthkumar Hegde,Uttara Kannada,BJP,3,12th Pass,"Rs 64,27,192  ~ 64 Lacs+","Rs 39,55,458  ~ 39 Lacs+"
1,Ramesh Rathod,Adilabad,TDP,2,12th Pass,"Rs 34,10,000  ~ 34 Lacs+","Rs 8,15,241  ~ 8 Lacs+"
3,HARIN PATHAK,Ahmedabad East,BJP,2,Post Graduate,"Rs 1,45,78,184  ~ 1 Crore+","Rs 22,734  ~ 22 Thou+"
40,Adv A Sampath,Attingal,CPM,2,Post Graduate,"Rs 89,99,000  ~ 89 Lacs+","Rs 21,50,029  ~ 21 Lacs+"
80,Angadi Suresh Channabasappa,Belgaum,BJP,2,Graduate Professional,"Rs 22,17,34,263  ~ 22 Crore+","Rs 4,33,92,842  ~ 4 Crore+"
103,KALIKESH NARAYAN SINGH DEO,Bolangir,BJD,2,Graduate,"Rs 3,61,48,185  ~ 3 Crore+","Rs 14,31,104  ~ 14 Lacs+"
118,"THIRUMAAVALAVAN, THOL",Chidambaram,VCK,2,Post Graduate,"Rs 23,47,700  ~ 23 Lacs+","Rs 8,81,000  ~ 8 Lacs+"
139,PASHUPATI NATH SINGH,Dhanbad,BJP,2,Graduate,"Rs 39,43,516  ~ 39 Lacs+",Rs 0  ~
174,SURENDRA SINGH NAGAR,Gautam Budhha Nagar,BSP,2,Graduate,"Rs 49,20,84,300  ~ 49 Crore+",Rs 0  ~
179,DARA SINGH CHAUHAN,Ghosi,BSP,2,10th Pass,"Rs 20,44,115  ~ 20 Lacs+","Rs 9,27,848  ~ 9 Lacs+"
184,ADITYA NATH,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212  ~ 21 Lacs+",Rs 0  ~
218,GHANSYAM ANURAGI,Jalaun,SP,2,Post Graduate,"Rs 63,50,833  ~ 63 Lacs+",Rs 0  ~
225,ARJUN MUNDA,Jamshedpur,BJP,2,Graduate Professional,"Rs 1,23,84,895  ~ 1 Crore+","Rs 1,76,069  ~ 1 Lacs+"
232,MANGANI LAL MANDAL,Jhanjharpur,JD(U),2,Post Graduate,"Rs 53,98,803  ~ 53 Lacs+","Rs 17,09,884  ~ 17 Lacs+"
233,PRADEEP KUMAR JAIN,Jhansi,INC,2,Post Graduate,"Rs 33,43,719  ~ 33 Lacs+",Rs 0  ~
241,BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP,2,Graduate Professional,"Rs 5,35,37,885  ~ 5 Crore+",Rs 0  ~
261,TAMBIDURAI.M,Karur,ADMK,2,Doctorate,"Rs 9,37,50,227  ~ 9 Crore+",Rs 0  ~
283,N Peethambarakurup,Kollam,INC,2,Graduate,"Rs 28,10,132  ~ 28 Lacs+",Rs 0  ~
310,Uma Shanaker Singh,Maharajganj,RJD,2,10th Pass,"Rs 1,01,45,601  ~ 1 Crore+","Rs 4,50,000  ~ 4 Lacs+"
312,K. CHANDRASEKHARA RAO,Mahbubnagar,TRS,2,Graduate,"Rs 2,26,69,420  ~ 2 Crore+",Rs 0  ~
341,SANJAY DINA PATIL,Mumbai North East,NCP,2,Graduate,"Rs 43,23,503  ~ 43 Lacs+",Rs 0  ~
358,GANDHISELVAN.S,Namakkal,DMK,2,Post Graduate,"Rs 40,70,482  ~ 40 Lacs+",Rs 0  ~
362,VENUGOPALA REDDY MODUGULA,Narasaraopet,TDP,2,Graduate Professional,"Rs 2,74,93,309  ~ 2 Crore+","Rs 51,964  ~ 51 Thou+"
384,DR. SANJAY JAISWAL,Paschim Champaran,BJP,2,Post Graduate,"Rs 1,09,50,474  ~ 1 Crore+","Rs 11,69,173  ~ 11 Lacs+"
