Sno,Candidate,Constituency,Party,Total Expenses in election
278,RAMEN DEKA,Mangaldoi,BJP,"Rs 18,27,650 ~ 18 Lacs+"
279,JAYANT K SINGH,Mathura,RLD,"Rs 19,64,153 ~ 19 Lacs+"
280,CHOUDHURY MOHAN JATUA,Mathurapur,AITC,"Rs 6,51,097 ~ 6 Lacs+"
281,BABAR GAJANAN DHARMSHI,Maval,SHS,"Rs 16,67,211 ~ 16 Lacs+"
282,Kodikunnil Suresh,Mavelikkara,INC,"Rs 12,06,050 ~ 12 Lacs+"
283,MANIAN O.S,Mayiladuthurai,ADMK,"Rs 16,10,540 ~ 16 Lacs+"
284,Laxman Tudu,Mayurbhanj,BJD,"Rs 9,91,512 ~ 9 Lacs+"
285,Prabodh Panda,Medinipur,CPI,"Rs 11,61,022 ~ 11 Lacs+"
286,RAJENDRA AGARWAL,Meerut,BJP,"Rs 13,02,914 ~ 13 Lacs+"
287,BAL KUMAR PATEL,Mirzapur,SP,"Rs 11,34,920 ~ 11 Lacs+"
288,C.L.RUALA,Mizoram,INC,"Rs 2,40,816 ~ 2 Lacs+"
289,SUSHILA SAROJ,Mohanlalganj,SP,"Rs 17,86,045 ~ 17 Lacs+"
290,MOHAMMED AZHARUDDIN,Moradabad,INC,"Rs 17,56,278 ~ 17 Lacs+"
291,NARENDRA SINGH TOMAR,Morena,BJP,"Rs 11,12,924 ~ 11 Lacs+"
292,SANJAY BRIJKISHORLAL NIRUPAM,Mumbai North,INC,"Rs 14,63,758 ~ 14 Lacs+"
293,DUTT PRIYA SUNIL,Mumbai North Central,INC,"Rs 14,71,358 ~ 14 Lacs+"
294,SANJAY DINA PATIL,Mumbai North East,NCP,"Rs 12,80,064 ~ 12 Lacs+"
295,AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,"Rs 11,51,222 ~ 11 Lacs+"
296,DEORA MILIND MURLI,Mumbai South,INC,"Rs 10,63,229 ~ 10 Lacs+"
297,EKNATH M. GAIKWAD,Mumbai South Central,INC,"Rs 12,75,226 ~ 12 Lacs+"
298,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Munger,JD(U),"Rs 18,04,704 ~ 18 Lacs+"
299,ABDUL MANNAN HOSSAIN,Murshidabad,INC,"Rs 12,85,460 ~ 12 Lacs+"
300,KADEER RANA,Muzaffarnagar,BSP,"Rs 11,56,040 ~ 11 Lacs+"
301,ADAGUR H. VISWANATH,Mysore,INC,"Rs 15,87,295 ~ 15 Lacs+"
302,Pradeep Kumar Majhi,Nabarangpur,INC,"Rs 7,97,695 ~ 7 Lacs+"
303,C.M. CHANG,Nagaland,NPF,"Rs 1,31,432 ~ 1 Lacs+"
304,VIJAYAN A K S,Nagapattinam,DMK,"Rs 17,25,895 ~ 17 Lacs+"
305,DR JYOTI MIRDHA,Nagaur,INC,"Rs 12,73,931 ~ 12 Lacs+"
306,YASHVIR SINGH,Nagina,SP,"Rs 20,98,107 ~ 20 Lacs+"
307,MUTTEMWAR VILASRAO BABURAOJI,Nagpur,INC,"Rs 17,40,208 ~ 17 Lacs+"
308,K.C. SINGH BABA,Nainital-Udhamsingh Nagar,INC,"Rs 22,37,714 ~ 22 Lacs+"
309,KAUSHALENDRA KUMAR,Nalanda,JD(U),"Rs 19,56,675 ~ 19 Lacs+"
310,GANDHISELVAN.S,Namakkal,DMK,"Rs 3,24,105 ~ 3 Lacs+"
311,KHATGAONK PATIL BHASKARRAO BAPURAO,Nanded,INC,"Rs 20,14,275 ~ 20 Lacs+"
312,VENUGOPALA REDDY MODUGULA,Narasaraopet,TDP,"Rs 15,21,093 ~ 15 Lacs+"
313,SAMEER BHUJBAL,Nashik,NCP,"Rs 21,99,595 ~ 21 Lacs+"
314,CHANDRAKANT RAGHUNATH PATIL,Navsari,BJP,"Rs 17,02,229 ~ 17 Lacs+"
315,RAJA A,Nilgiris,DMK,"Rs 20,75,347 ~ 20 Lacs+"
316,Madhu Yaskhi Goud,Nizamabad,INC,"Rs 13,76,003 ~ 13 Lacs+"
317,SHRIPAD YESSO NAIK,North Goa,BJP,"Rs 9,28,846 ~ 9 Lacs+"
318,RAJEN GOHAIN,Nowgong,BJP,"Rs 19,32,738 ~ 19 Lacs+"
319,PATIL PADAMSINHA BAJIRAO,Osmanabad,NCP,"Rs 20,45,000 ~ 20 Lacs+"
320,THANGSO BAITE,Outer Manipur,INC,"Rs 7,23,242 ~ 7 Lacs+"
321,JADHAV BALIRAM SUKUR,Palghar,BVA,"Rs 10,69,653 ~ 10 Lacs+"
322,BADRI RAM,Pali,INC,"Rs 13,09,655 ~ 13 Lacs+"
323,PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP,"Rs 14,30,397 ~ 14 Lacs+"
324,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,"Rs 13,58,692 ~ 13 Lacs+"
325,DR. SANJAY JAISWAL,Paschim Champaran,BJP,"Rs 21,15,647 ~ 21 Lacs+"
326,JAGDISHBHAI MOTIJI THAKORE,Patan,INC,"Rs 18,25,191 ~ 18 Lacs+"
327,Anto Antony,Pathanamthitta,INC,"Rs 17,31,926 ~ 17 Lacs+"
328,PRENEET KAUR,Patiala,INC,"Rs 14,38,708 ~ 14 Lacs+"
329,"NAPOLEON,D.",Perambalur,DMK,"Rs 14,75,188 ~ 14 Lacs+"
330,KAPIL MUNI KARWARIYA,Phulpur,BSP,"Rs 16,38,746 ~ 16 Lacs+"
331,FEROZE VARUN GANDHI,Pilibhit,BJP,"Rs 17,78,475 ~ 17 Lacs+"
332,VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC,"Rs 20,10,851 ~ 20 Lacs+"
333,RAJKUMARI RATNA SINGH,Pratapgarh,INC,"Rs 21,01,388 ~ 21 Lacs+"
334,Pinaki Misra,Puri,BJD,"Rs 8,71,753 ~ 8 Lacs+"
335,UDAY SINGH ALIAS PAPPU SINGH,Purnia,BJP,"Rs 8,30,049 ~ 8 Lacs+"
336,Narahari Mahato,Purulia,AIFB,"Rs 16,04,445 ~ 16 Lacs+"
337,RADHA MOHAN SINGH,Purvi Champaran,BJP,"Rs 17,69,711 ~ 17 Lacs+"
338,SONIA GANDHI,Rae bareli,INC,"Rs 12,01,333 ~ 12 Lacs+"
339,ANANT GEETE,Raigad,SHS,"Rs 15,13,192 ~ 15 Lacs+"
340,Deepa Dasmunsi,Raiganj,INC,"Rs 16,13,946 ~ 16 Lacs+"
341,Vishu Deo Sai,Raigarh,BJP,"Rs 14,43,034 ~ 14 Lacs+"
342,Ramesh Bais,Raipur,BJP,"Rs 19,46,417 ~ 19 Lacs+"
343,NARAYANSINGH AMLABE,Rajgarh,INC,"Rs 20,90,485 ~ 20 Lacs+"
344,KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC,"Rs 13,83,907 ~ 13 Lacs+"
345,Madhusudan Yadav,Rajnandgaon,BJP,"Rs 18,54,221 ~ 18 Lacs+"
346,GOPAL SINGH,Rajsamand,INC,"Rs 5,10,778 ~ 5 Lacs+"
347,SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK,"Rs 19,96,105 ~ 19 Lacs+"
348,JAYA PRADA NAHATA,Rampur,SP,"Rs 13,20,110 ~ 13 Lacs+"
349,WASNIK MUKUL BALKRISHNA,Ramtek,INC,"Rs 14,10,679 ~ 14 Lacs+"
350,SUCHARU RANJAN HALDAR,Ranaghat,AITC,"Rs 21,78,194 ~ 21 Lacs+"
351,SUBODH KANT SAHAY,Ranchi,INC,"Rs 19,18,174 ~ 19 Lacs+"
352,KANTILAL BHURIA,Ratlam,INC,"Rs 16,22,386 ~ 16 Lacs+"
353,DR.NILESH NARAYAN RANE,Ratnagiri Sindhudurg,INC,"Rs 22,65,347 ~ 22 Lacs+"
354,HARIBHAU MADHAV JAWALE,Raver,BJP,"Rs 14,36,404 ~ 14 Lacs+"
355,DEORAJ SINGH PATEL,Rewa,BSP,"Rs 18,35,146 ~ 18 Lacs+"
356,PAKAURI LAL,Robertsganj,SP,"Rs 13,64,551 ~ 13 Lacs+"
357,DEEPENDER SINGH,Rohtak,INC,"Rs 14,15,651 ~ 14 Lacs+"
358,MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,"Rs 14,34,547 ~ 14 Lacs+"
359,BHUPENDRA SINGH,Sagar,BJP,"Rs 8,67,808 ~ 8 Lacs+"
360,JAGDISH SINGH RANA,Saharanpur,BSP,"Rs 9,46,500 ~ 9 Lacs+"
361,SEMMALAI S,Salem,ADMK,"Rs 7,83,049 ~ 7 Lacs+"
362,RAMASHANKAR RAJBHAR,Salempur,BSP,"Rs 8,74,131 ~ 8 Lacs+"
363,Amarnath Pradhan,Sambalpur,INC,"Rs 9,98,880 ~ 9 Lacs+"
364,DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,"Rs 18,79,685 ~ 18 Lacs+"
365,PRATIK PRAKASHBAPU PATIL,Sangli,INC,"Rs 17,80,344 ~ 17 Lacs+"
366,VIJAY INDER SINGLA,Sangrur,INC,"Rs 7,24,530 ~ 7 Lacs+"
367,BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,"Rs 4,47,007 ~ 4 Lacs+"
368,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP,"Rs 18,84,788 ~ 18 Lacs+"
369,GANESH SINGH,Satna,BJP,"Rs 18,00,641 ~ 18 Lacs+"
370,RAJESH NANDINI SINGH,Shahdol,INC,"Rs 11,95,195 ~ 11 Lacs+"
371,MITHLESH,Shahjahanpur,SP,"Rs 9,41,436 ~ 9 Lacs+"
372,RAMA DEVI,Sheohar,BJP,"Rs 12,86,704 ~ 12 Lacs+"
373,VINCENT H PALA,Shillong,INC,"Rs 9,82,698 ~ 9 Lacs+"
374,VIRENDER KASHYAP,Shimla,BJP,"Rs 9,00,766 ~ 9 Lacs+"
375,B.Y. RAGHAVENDRA,Shimoga,BJP,"Rs 9,58,583 ~ 9 Lacs+"
376,WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,"Rs 15,05,938.87 ~ 15 Lacs+"
377,ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,"Rs 19,11,500 ~ 19 Lacs+"
378,VINAY KUMAR ALIAS VINNU,Shrawasti,INC,"Rs 9,91,118 ~ 9 Lacs+"
379,GOVIND PRASAD MISHRA,Sidhi,BJP,"Rs 12,11,086 ~ 12 Lacs+"
380,MAHADEV SINGH,Sikar,INC,"Rs 16,82,261 ~ 16 Lacs+"
381,Kabindra Purkayastha,Silchar,BJP,"Rs 19,31,725 ~ 19 Lacs+"
382,ASHOK TANWAR,Sirsa,INC,"Rs 17,80,864 ~ 17 Lacs+"
383,ARJUN ROY,Sitamarhi,JD(U),"Rs 16,18,761 ~ 16 Lacs+"
384,KAISAR JAHAN,Sitapur,BSP,"Rs 17,63,489 ~ 17 Lacs+"
385,CHIDAMBARAM P,Sivaganga,INC,"Rs 14,01,919 ~ 14 Lacs+"
386,OmPrakashYadav,Siwan,IND,"Rs 13,41,715 ~ 13 Lacs+"
387,SHINDE SUSHILKUMAR SAMBHAJIRAO,Solapur,INC,"Rs 17,96,770 ~ 17 Lacs+"
388,JITENDER SINGH,Sonipat,INC,"Rs 10,54,980 ~ 10 Lacs+"
389,RAMESH KUMAR,South Delhi,INC,"Rs 18,63,464 ~ 18 Lacs+"
390,COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,"Rs 10,30,814 ~ 10 Lacs+"
391,KALYAN BANERJEE,Sreerampur,AITC,"Rs 9,07,777 ~ 9 Lacs+"
392,FAROOQ ABDULLAH,Srinagar,JKN,"Rs 11,33,551 ~ 11 Lacs+"
393,BAALU T R,Sriperumbudur,DMK,"Rs 5,21,150 ~ 5 Lacs+"
394,DR.SANJAY SINGH,Sultanpur,INC,"Rs 10,43,965 ~ 10 Lacs+"
395,HEMANAND BISWAL,Sundargarh,INC,"Rs 16,09,358 ~ 16 Lacs+"
396,VISHWA MOHAN KUMAR,Supaul,JD(U),"Rs 21,91,979 ~ 21 Lacs+"
397,DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP,"Rs 12,87,682 ~ 12 Lacs+"
398,SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,"Rs 10,40,901 ~ 10 Lacs+"
399,ADHIKARI SUVENDU,Tamluk,AITC,"Rs 12,74,375 ~ 12 Lacs+"
400,VIJAY BAHUGUNA,Tehri Garhwal,INC,"Rs 15,32,942 ~ 15 Lacs+"
401,LINGAM P,Tenkasi,CPI,"Rs 18,65,365 ~ 18 Lacs+"
402,JOSEPH TOPPO,Tezpur,AGP,"Rs 18,97,448 ~ 18 Lacs+"
403,DR.SANJEEV GANESH NAIK,Thane,NCP,"Rs 21,04,048 ~ 21 Lacs+"
404,PALANIMANICKAM.S.S,Thanjavur,DMK,"Rs 8,16,690 ~ 8 Lacs+"
405,AARON RASHID.J.M,Theni,INC,"Rs 4,61,540 ~ 4 Lacs+"
406,Shashi Tharoor,Thiruvananthapuram,INC,"Rs 18,59,879 ~ 18 Lacs+"
407,JEYADURAI S R,Thoothukkudi,DMK,"Rs 12,56,316 ~ 12 Lacs+"
408,P C Chacko,Thrissur,INC,"Rs 16,60,856 ~ 16 Lacs+"
409,VIRENDRA KUMAR,Tikamgarh,BJP,"Rs 16,39,677 ~ 16 Lacs+"
410,KUMAR.P,Tiruchirappalli,ADMK,"Rs 20,04,991 ~ 20 Lacs+"
411,RAMASUBBU S,Tirunelveli,INC,"Rs 20,12,739 ~ 20 Lacs+"
412,SIVASAMI C,Tiruppur,ADMK,"Rs 3,09,712 ~ 3 Lacs+"
413,VENUGOPAL.P,Tiruvallur,ADMK,"Rs 12,81,256 ~ 12 Lacs+"
414,VENUGOPAL.D,Tiruvannamalai,DMK,"Rs 17,55,703 ~ 17 Lacs+"
415,NAMO NARAYAN,Tonk-Sawai Madhopur,INC,"Rs 21,90,379 ~ 21 Lacs+"
416,BAJU BAN RIYAN,Tripura East,CPM,"Rs 20,19,184 ~ 20 Lacs+"
417,KHAGEN DAS,Tripura West,CPM,"Rs 17,40,286 ~ 17 Lacs+"
418,G.S. BASAVARAJU,Tumkur,BJP,"Rs 9,67,068 ~ 9 Lacs+"
419,AGATHA K. SANGMA,Tura,NCP,"Rs 16,94,562 ~ 16 Lacs+"
420,Raghuveer singh,Udaipur,INC,"Rs 15,66,128 ~ 15 Lacs+"
421,CH. LAL SINGH,Udhampur,INC,"Rs 14,82,694 ~ 14 Lacs+"
422,D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,"Rs 14,99,820 ~ 14 Lacs+"
423,GUDDU PREMCHAND,Ujjain,INC,"Rs 17,65,366 ~ 17 Lacs+"
424,SULTAN AHMED,Uluberia,AITC,"Rs 20,12,821 ~ 20 Lacs+"
425,ANNUTANDON,Unnao,INC,"Rs 16,60,262 ~ 16 Lacs+"
426,Ananthkumar Hegde,Uttara Kannada,BJP,"Rs 12,55,616 ~ 12 Lacs+"
427,Mullappally Ramachandran,Vadakara,INC,"Rs 12,69,623 ~ 12 Lacs+"
428,BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP,"Rs 17,76,632 ~ 17 Lacs+"
429,BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U),"Rs 22,04,239 ~ 22 Lacs+"
430,KISANBHAI VESTABHAI PATEL,Valsad,INC,"Rs 12,99,760 ~ 12 Lacs+"
431,DR. MURLI MANOHAR JOSHI,Varanasi,BJP,"Rs 18,66,940 ~ 18 Lacs+"
432,ABDULRAHMAN,Vellore,DMK,"Rs 14,80,724 ~ 14 Lacs+"
433,SUSHMA SWARAJ,Vidisha,BJP,"Rs 8,92,957 ~ 8 Lacs+"
434,ANANDAN M,Viluppuram,ADMK,"Rs 12,49,460 ~ 12 Lacs+"
435,Rajaiah Siricilla,Warangal,INC,"Rs 17,14,478 ~ 17 Lacs+"
436,M I Shanavas,Wayanad,INC,"Rs 15,80,237 ~ 15 Lacs+"
437,BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS,"Rs 16,64,688 ~ 16 Lacs+"
