Sno,Candidate,Constituency,Party,Total Expenses in election
65,SK. NURUL ISLAM,Basirhat,AITC,"Rs 17,29,056 ~ 17 Lacs+"
66,Baliram Kashyap,Bastar,BJP,"Rs 17,24,715 ~ 17 Lacs+"
67,ARVIND KUMAR CHAUDHARY,Basti,BSP,"Rs 20,90,905 ~ 20 Lacs+"
68,HARSIMRAT KAUR,Bathinda,SAD,"Rs 11,00,204 ~ 11 Lacs+"
69,MUNDE GOPINATHRAO PANDURANG,Beed,BJP,"Rs 19,36,922 ~ 19 Lacs+"
70,Sidhant Mohapatra,Berhampur,BJD,"Rs 16,49,751 ~ 16 Lacs+"
71,JYOTI DHURVE,Betul,BJP,"Rs 8,61,555 ~ 8 Lacs+"
72,GORAKHNATH,Bhadohi,BSP,"Rs 11,88,323 ~ 11 Lacs+"
73,Arjun Charan Sethi,Bhadrak,BJD,"Rs 15,37,869 ~ 15 Lacs+"
74,PATEL PRAFUL MANOHARBHAI,Bhandara-Gondiya,NCP,"Rs 13,41,106 ~ 13 Lacs+"
75,RATAN SINGH,Bharatpur,INC,"Rs 16,09,457 ~ 16 Lacs+"
76,MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,"Rs 15,35,399 ~ 15 Lacs+"
77,RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,"Rs 14,43,130 ~ 14 Lacs+"
78,C P JOSHI,Bhilwara,INC,"Rs 7,68,210 ~ 7 Lacs+"
79,ASHOK ARGAL,Bhind,BJP,"Rs 9,42,287 ~ 9 Lacs+"
80,TAWARE SURESH KASHINATH,Bhiwandi,INC,"Rs 14,69,474 ~ 14 Lacs+"
81,SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,"Rs 12,70,746 ~ 12 Lacs+"
82,KAILASH JOSHI,Bhopal,BJP,"Rs 10,44,402 ~ 10 Lacs+"
83,Prasanna Kumar Patasani,Bhubaneswar,BJD,"Rs 9,18,837 ~ 9 Lacs+"
84,Jigajinagi Ramesh Chandappa,Bijapur,BJP,"Rs 6,86,056 ~ 6 Lacs+"
85,SANJAY SINGH CHAUHAN,Bijnor,RLD,"Rs 12,94,228 ~ 12 Lacs+"
86,ARJUN RAM MEGHWAL,Bikaner,BJP,"Rs 10,03,168 ~ 10 Lacs+"
87,Dilip Singh Judev,Bilaspur,BJP,"Rs 19,21,690 ~ 19 Lacs+"
88,SATABDI ROY (BANERJEE),Birbhum,AITC,"Rs 10,97,610 ~ 10 Lacs+"
89,Susmita Bauri,Bishnupur,CPM,"Rs 13,06,006 ~ 13 Lacs+"
90,KALIKESH NARAYAN SINGH DEO,Bolangir,BJD,"Rs 20,01,321 ~ 20 Lacs+"
91,RAM CHANDRA DOME,Bolpur,CPM,"Rs 14,60,806 ~ 14 Lacs+"
92,KAMLESH,Bulandshahr,SP,"Rs 14,90,747 ~ 14 Lacs+"
