Name_of_Member,Constituency,Party
Shri  Nishikant  Dubey                                             ,Godda,BJP
Shri  Yashwant  Sinha                                             ,Hazaribagh,BJP
Shri  Subodh Kant  Sahay                                             ,Ranchi,INC
Shri  Shibu  Soren                                             ,Dumka,JMM
Shri  Sudarshan  Bhagat                                            ,Lohardaga,BJP
Shri  Babu Lal  Marandi                                           ,Kodarma,JVM
