Name_of_Member,Constituency,Party
Shri  Kapil  Sibal                                             ,Chandni Chowk,INC
Shri  Ramesh  Kumar                                             ,South Delhi,INC
Shri  Sandeep  Dikshit                                           ,East Delhi,INC
