Name_of_Member,Constituency,Party
Dr.  Charan Das  Mahant                                            ,Korba,INC
Shri  Chandulal Sahu  Chandu Bhaiya  ,Mahasamund,BJP
Shri  Sohan  Potai                                             ,Kanker,BJP
Shri  Vishnu Deo  Sai                                               ,Raigarh,BJP
Shri  Madhusudan  Yadav                                             ,Rajnandgaon,BJP
Kum.  Saroj  Pandey                                            ,Durg,BJP
