Name_of_Member,Constituency,Party
Shri  Satpal  Maharaj                                           ,Garhwal,INC
Shri  K.C.  Singh Baba                                        ,Nainital-Udhamsingh Nagar,INC
Shri  Vijay  Bahuguna                                          ,Tehri Garhwal,INC
Shri  Harish  Rawat                                             ,Hardwar,INC
Shri  Pradeep  Tamta                                             ,Almora,INC
