Name_of_Member,Constituency,Party
Shri  Anurag Singh  Thakur                                            ,Hamirpur,BJP
Shri  Anurag Singh  Thakur                                            ,Hamirpur,BSP
Shri  Anurag Singh  Thakur                                            ,Hamirpur,BJP
Shri  Anurag Singh  Thakur                                            ,Hamirpur,BSP
Dr.  Rajan  Sushant                                           ,Kangra,BJP
Shri  Virender  Kashyap                                           ,Shimla,BJP
