Name_of_Member,Constituency,Party
Shri  Hassan  Khan                                              ,Ladakh,IND
Shri  Madan Lal  Sharma                                            ,Jammu,INC
Shri  Sharief Ud Din  Shariq                                            ,Baramulla,JKN
Shri  Mirza Mehboob  Beg                                               ,Anantnag,JKN
Chaudhary  Lal  Singh                                             ,Udhampur,INC
