Name_of_Member,Constituency,Party
Shri   Rayapati S.  Rao                                               ,Guntur,INC
Shri  Madhu Goud  Yaskhi                                            ,Nizamabad,INC
Shri  Modugula Venugopala  Reddy                                             ,Narasaraopet,TDP
Shri  P.  Balram  Naik                                      ,Mahabubabad,INC
Shri  Naramalli  Sivaprasad                                        ,Chittoor,TDP
Shri  Rajaiah  Siricilla                                         ,Warangal,INC
