,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
257,Mayiladuthurai,ADMK,1610540,Shri  O. S.  Manian                                            ,Tamil Nadu                                                  ,18,1,1,8635089,2000000,0.186511106,0.692307692
269,Nagapattinam,DMK,1725895,Shri  A.K.S.  Vijayan                                           ,Tamil Nadu                                                  ,17,0,1,7205000,1127000,0.239541291,0.653846154
284,Chidambaram,VCK,1498974,Shri  Thol Thirumaavalavan  ,Tamil Nadu                                                  ,16,2,2,2347700,881000,0.638486178,0.615384615
288,Thoothukkudi,DMK,1256316,Shri  S. R.  Jeyadurai                                         ,Tamil Nadu                                                  ,15,0,1,87526313,1090000,0.014353581,0.576923077
208,Tripura East,CPM,2019184,Shri  Baju Ban  Riyan                                             ,Tripura                                                     ,21,0,1,3695981,0,0.546318826,0.807692308
327,Tripura West,CPM,1740286,Shri  Khagen  Das                                               ,Tripura                                                     ,9,0,2,3492580,0,0.498280927,0.346153846
7,Barabanki,INC,1065784,Shri  P.L.  Punia                                             ,Uttar Pradesh                                               ,26,0,2,14047833,995370,0.075868214,1
23,Faizabad,INC,1972135,Dr.  Nirmal  Khatri                                            ,Uttar Pradesh                                               ,26,0,2,6670000,5771,0.295672414,1
27,Kheri,INC,1380047,Shri  Zafar Ali  Naqvi                                             ,Uttar Pradesh                                               ,26,0,2,3979881,0,0.346755845,1
36,Meerut,BJP,1302914,Shri  Rajendra  Agarwal                                           ,Uttar Pradesh                                               ,26,0,2,2121825,315620,0.614053468,1
44,Jalaun,SP,1919879,Shri  Ghanshyam  Anuragi                                           ,Uttar Pradesh                                               ,26,2,2,6350833,0,0.302303493,1
46,Chandauli,SP,2295434,Shri    Ramkishun                                         ,Uttar Pradesh                                               ,26,10,2,4672785,0,0.491234671,1
11,Basti,BSP,2090905,Shri  Arvind Kumar  Chaudhary                                         ,Uttar Pradesh                                               ,26,0,1,18643936,0,0.112149334,1
42,Bahraich,INC,1739339,Shri  Kamal  Kishor   Commando                                 ,Uttar Pradesh                                               ,26,1,1,1373495,0,1.266359907,1
60,Allahabad,SP,1481601,Kunwar  Rewati Raman  Singh                                             ,Uttar Pradesh                                               ,25,0,2,18640164,226475,0.079484333,0.961538462
64,Lalganj,BSP,1786846,Dr.    Bali Ram                                          ,Uttar Pradesh                                               ,25,0,2,8003036,638922,0.223271019,0.961538462
75,Bareilly,INC,1131425,Shri  Praveen Singh  Aron                                              ,Uttar Pradesh                                               ,25,1,2,288019293,32622036,0.003928296,0.961538462
77,Varanasi,BJP,1866940,Dr.  Murli Manohar  Joshi                                             ,Uttar Pradesh                                               ,25,1,2,54475345,0,0.034271284,0.961538462
79,Kaiserganj,SP,2318057,Shri  Brij Bhushan Sharan  Singh                                             ,Uttar Pradesh                                               ,25,2,2,53537885,0,0.043297508,0.961538462
84,Fatehpur,SP,2293831,Shri  Rakesh  Sachan                                            ,Uttar Pradesh                                               ,25,7,2,40955595,0,0.056007757,0.961538462
56,Saharanpur,BSP,946500,Shri  Jagdish Singh  Rana                                              ,Uttar Pradesh                                               ,25,0,1,18867277,298187,0.050166222,0.961538462
58,Ballia,SP,1707194,Shri  Neeraj  Shekhar                                           ,Uttar Pradesh                                               ,25,0,1,27718262,15100000,0.061590947,0.961538462
66,Machhlishahr,SP,1351016,Shri  Tufani  Saroj                                             ,Uttar Pradesh                                               ,25,0,1,5336133,0,0.253182595,0.961538462
67,Sambhal,BSP,1879685,Dr.  Shafiqur Rahman  Barq                                              ,Uttar Pradesh                                               ,25,0,1,7059763,0,0.266253272,0.961538462
76,Unnao,INC,1660262,Smt.  Annu  Tandon                                            ,Uttar Pradesh                                               ,25,1,1,421352753,0,0.003940314,0.961538462
81,Ambedkar Nagar,BSP,1298878,Shri  Rakesh  Pandey                                            ,Uttar Pradesh                                               ,25,3,0,164078904,0,0.007916179,0.961538462
92,Mohanlalganj,SP,1786045,Smt.  Sushila  Saroj                                             ,Uttar Pradesh                                               ,24,0,2,28680230,2452429,0.062274431,0.923076923
106,Badaun,SP,1810281,Shri  Dharmendra  Yadav                                             ,Uttar Pradesh                                               ,24,0,2,5682299,98000,0.318582496,0.923076923
127,Shrawasti,INC,991118,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",Uttar Pradesh                                               ,24,4,2,15743200,589157,0.062955308,0.923076923
107,Salempur,BSP,874131,Shri  Ramashankar  Rajbhar                                           ,Uttar Pradesh                                               ,24,0,1,2305000,0,0.379232538,0.923076923
121,Nagina,SP,2098107,Shri  Yashvir  Singh                                             ,Uttar Pradesh                                               ,24,1,1,784562,0,2.674239894,0.923076923
112,Robertsganj,SP,1364551,Shri  Pakauri  Lal                                               ,Uttar Pradesh                                               ,24,0,0,1762515,0,0.774206744,0.923076923
142,Akbarpur,INC,1505179,Shri  Raja Ram  Pal                                               ,Uttar Pradesh                                               ,23,0,2,4400000,838099,0.342086136,0.884615385
149,Ghaziabad,BJP,1733961,Shri  Rajnath  Singh                                             ,Uttar Pradesh                                               ,23,1,2,14902703,0,0.116352114,0.884615385
155,Phulpur,BSP,1638746,Shri  Kapil Muni  Karwariya                                         ,Uttar Pradesh                                               ,23,4,2,0,0,#DIV/0!,0.884615385
