,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
24,29,TAKAM SANJOY,Arunachal West,INC,"Rs 9,09,291 ~ 9 Lacs+",57,94,Shri  Takam  Sanjoy                                            ,15,2,Arunachal Pradesh                                           ,26,22,37,TAKAM SANJOY,INC,0,Graduate,"Rs 2,41,37,021  ~ 2 Crore+",Rs 0  ~
25,30,BANSAGOPAL CHOWDHURY,Asansol,CPM,"Rs 14,69,929 ~ 14 Lacs+",250,304,Shri  Bansagopal  Chowdhury                                         ,15,2,West Bengal                                                 ,26,18,38,BANSAGOPAL CHOWDHURY,CPM,0,Graduate,"Rs 14,23,763  ~ 14 Lacs+",Rs 0  ~
26,31,Nityananda Pradhan,Aska,BJD,"Rs 9,69,758 ~ 9 Lacs+",365,421,Shri  Nityananda  Pradhan                                           ,15,2,Orissa                                                      ,26,13,39,Nityananda Pradhan,BJD,1,Post Graduate,"Rs 2,66,16,692  ~ 2 Crore+","Rs 15,25,000  ~ 15 Lacs+"
27,32,Adv A Sampath,Attingal,CPM,"Rs 19,02,458 ~ 19 Lacs+",262,315,Adv.  A.  Sampath                                           ,15,2,Kerala                                                      ,26,22,40,Adv A Sampath,CPM,2,Post Graduate,"Rs 89,99,000  ~ 89 Lacs+","Rs 21,50,029  ~ 21 Lacs+"
28,33,CHANDRAKANT KHAIRE,Aurangabad,SHS,"Rs 6,68,346 ~ 6 Lacs+",317,372,Shri  Chandrakant  Khaire                                            ,15,2,Maharashtra                                                 ,26,13,41,CHANDRAKANT KHAIRE,SHS,16,12th Pass,"Rs 1,41,51,539  ~ 1 Crore+","Rs 14,72,122  ~ 14 Lacs+"
29,33,CHANDRAKANT KHAIRE,Aurangabad,SHS,"Rs 6,68,346 ~ 6 Lacs+",317,372,Shri  Chandrakant  Khaire                                            ,15,2,Maharashtra                                                 ,26,13,42,Sushil Kumar Singh,JD(U),4,Post Graduate,"Rs 2,08,87,871  ~ 2 Crore+","Rs 7,41,199  ~ 7 Lacs+"
30,33,CHANDRAKANT KHAIRE,Aurangabad,SHS,"Rs 6,68,346 ~ 6 Lacs+",340,394,Shri  Sushil Kumar  Singh                                             ,15,2,Bihar                                                       ,26,24,41,CHANDRAKANT KHAIRE,SHS,16,12th Pass,"Rs 1,41,51,539  ~ 1 Crore+","Rs 14,72,122  ~ 14 Lacs+"
31,33,CHANDRAKANT KHAIRE,Aurangabad,SHS,"Rs 6,68,346 ~ 6 Lacs+",340,394,Shri  Sushil Kumar  Singh                                             ,15,2,Bihar                                                       ,26,24,42,Sushil Kumar Singh,JD(U),4,Post Graduate,"Rs 2,08,87,871  ~ 2 Crore+","Rs 7,41,199  ~ 7 Lacs+"
32,34,BIREN SINGH ENGTI,Autonomous District,INC,"Rs 20,47,950 ~ 20 Lacs+",66,107,Shri  Biren Singh  Engti                                             ,15,2,Assam                                                       ,26,26,43,BIREN SINGH ENGTI,INC,0,Post Graduate,"Rs 2,52,97,068  ~ 2 Crore+",Rs 0  ~
33,35,RAMAKANT YADAV,Azamgarh,BJP,"Rs 17,97,108 ~ 17 Lacs+",427,485,Shri  Ramakant  Yadav                                             ,15,2,Uttar Pradesh                                               ,26,15,44,RAMAKANT YADAV,BJP,11,10th Pass,"Rs 2,44,94,000  ~ 2 Crore+",Rs 0  ~
34,36,DHARMENDRA YADAV,Badaun,SP,"Rs 18,10,281 ~ 18 Lacs+",268,321,Shri  Dharmendra  Yadav                                             ,15,2,Uttar Pradesh                                               ,26,24,45,DHARMENDRA YADAV,SP,0,Post Graduate,"Rs 56,82,299  ~ 56 Lacs+","Rs 98,000  ~ 98 Thou+"
35,37,GADDIGOUDAR P C,Bagalkot,BJP,"Rs 10,02,049 ~ 10 Lacs+",448,506,Shri  P.C.  Gaddigoudar                                       ,15,2,Karnataka                                                   ,26,15,46,GADDIGOUDAR P C,BJP,0,Graduate Professional,"Rs 1,67,62,000  ~ 1 Crore+","Rs 66,74,134  ~ 66 Lacs+"
36,38,AJIT SINGH,Baghpat,RLD,"Rs 13,04,886 ~ 13 Lacs+",3,11,Shri  Ajit  Singh                                             ,15,2,Uttar Pradesh                                               ,26,0,47,AJIT SINGH,RLD,0,Post Graduate,"Rs 5,82,32,462  ~ 5 Crore+","Rs 13,077  ~ 13 Thou+"
37,39,ADHIR RANJAN CHOWDHURY,Baharampur,INC,"Rs 19,50,856 ~ 19 Lacs+",28,64,Shri  Adhir Ranjan  Chowdhury                                         ,15,2,West Bengal                                                 ,26,0,48,ADHIR RANJAN CHOWDHURY,INC,4,10th Pass,"Rs 2,99,43,557  ~ 2 Crore+","Rs 19,26,083  ~ 19 Lacs+"
38,40,KAMAL KISHOR,Bahraich,INC,"Rs 17,39,339 ~ 17 Lacs+",172,222,Shri  Kamal  Kishor   Commando                                 ,15,2,Uttar Pradesh                                               ,26,26,49,KAMAL KISHOR,INC,1,Graduate,"Rs 13,73,495  ~ 13 Lacs+",Rs 0  ~
39,43,NEERAJ SHEKHAR,Ballia,SP,"Rs 17,07,194 ~ 17 Lacs+",269,322,Shri  Neeraj  Shekhar                                           ,15,2,Uttar Pradesh                                               ,26,25,51,NEERAJ SHEKHAR,SP,0,Graduate,"Rs 2,77,18,262  ~ 2 Crore+","Rs 1,51,00,000  ~ 1 Crore+"
40,44,Prasanta Kumar Majumdar,Balurghat,RSP,"Rs 16,90,214 ~ 16 Lacs+",307,362,Shri  Prasanta Kumar  Majumdar                                          ,15,2,West Bengal                                                 ,26,20,52,Prasanta Kumar Majumdar,RSP,0,Post Graduate,"Rs 16,76,454  ~ 16 Lacs+",Rs 0  ~
41,45,MUKESH BHAIRAVDANJI GADHAVI,Banaskantha,INC,"Rs 9,17,508 ~ 9 Lacs+",132,179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ,15,2,Gujarat                                                     ,26,18,53,MUKESH BHAIRAVDANJI GADHAVI,INC,0,Graduate,"Rs 2,26,94,764  ~ 2 Crore+",Rs 0  ~
42,46,R. K. SINGH PATEL,Banda,SP,"Rs 16,31,812 ~ 16 Lacs+",245,299,Shri  R.K. Singh  Patel                                             ,15,2,Uttar Pradesh                                               ,26,22,54,R. K. SINGH PATEL,SP,1,Graduate,"Rs 3,41,07,955  ~ 3 Crore+",Rs 0  ~
43,47,Ananth Kumar,Bangalore South,BJP,"Rs 12,96,549 ~ 12 Lacs+",406,465,Shri    Ananth Kumar                                      ,15,2,Karnataka                                                   ,26,24,58,Ananth Kumar,BJP,0,Graduate Professional,"Rs 1,22,06,366  ~ 1 Crore+",Rs 0  ~
44,48,GOBINDA CHANDRA NASKAR,Bangaon,AITC,"Rs 23,74,160 ~ 23 Lacs+",266,319,Shri  Gobinda Chandra  Naskar                                            ,15,2,West Bengal                                                 ,26,24,59,GOBINDA CHANDRA NASKAR,AITC,0,Post Graduate,"Rs 25,49,515  ~ 25 Lacs+",Rs 0  ~
45,50,Acharia Basudeb,Bankura,CPM,"Rs 13,20,108 ~ 13 Lacs+",310,365,Shri  Basudeb  Acharia                                           ,15,2,West Bengal                                                 ,26,25,60,Acharia Basudeb,CPM,0,Post Graduate,"Rs 32,49,037  ~ 32 Lacs+",Rs 0  ~
46,52,Tara chand,Banswara,INC,"Rs 17,01,740 ~ 17 Lacs+",90,135,Shri  Tarachand  Bhagora                                           ,15,2,Rajasthan                                                   ,26,22,61,Tara chand,INC,0,Post Graduate,"Rs 65,18,752  ~ 65 Lacs+","Rs 11,22,163  ~ 11 Lacs+"
47,53,P.L.PUNIA,Barabanki,INC,"Rs 10,65,784 ~ 10 Lacs+",171,221,Shri  P.L.  Punia                                             ,15,2,Uttar Pradesh                                               ,26,26,63,P.L.PUNIA,INC,0,Doctorate,"Rs 1,40,47,833  ~ 1 Crore+","Rs 9,95,370  ~ 9 Lacs+"
48,54,SUPRIYA SULE,Baramati,NCP,"Rs 11,16,411 ~ 11 Lacs+",144,192,Smt.  Supriya  Sule                                              ,15,2,Maharashtra                                                 ,26,18,64,SUPRIYA SULE,NCP,0,Graduate,"Rs 51,53,63,663  ~ 51 Crore+",Rs 0  ~
49,55,SHARIEF UD DIN SHARIQ,Baramulla,JKN,"Rs 17,81,000 ~ 17 Lacs+",178,228,Shri  Sharief Ud Din  Shariq                                            ,15,2,Jammu and Kashmir                                           ,26,22,65,SHARIEF UD DIN SHARIQ,JKN,0,Post Graduate,"Rs 1,19,55,000  ~ 1 Crore+","Rs 13,10,000  ~ 13 Lacs+"
50,56,KAKALI GHOSH DASTIDAR,Barasat,AITC,"Rs 19,32,569 ~ 19 Lacs+",167,217,Dr.  Kakoli Ghosh  Dastidar                                          ,15,2,West Bengal                                                 ,26,14,66,KAKALI GHOSH DASTIDAR,AITC,0,Graduate Professional,"Rs 1,25,76,309  ~ 1 Crore+","Rs 3,35,000  ~ 3 Lacs+"
51,57,ANUP KUMAR SAHA,Bardhaman Purba,CPM,"Rs 12,49,177 ~ 12 Lacs+",273,326,Dr.  Anup Kumar  Saha                                              ,15,2,West Bengal                                                 ,26,26,67,ANUP KUMAR SAHA,CPM,0,Post Graduate,"Rs 74,72,944  ~ 74 Lacs+",Rs 0  ~
52,58,SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,"Rs 15,52,329 ~ 15 Lacs+",281,335,Sk.   Saidul  Haque                                             ,15,2,West Bengal                                                 ,26,25,68,SK. SAIDUL HAQUE,CPM,0,Post Graduate,"Rs 24,14,520  ~ 24 Lacs+","Rs 1,28,172  ~ 1 Lacs+"
53,60,PRAVEEN SINGH ARON,Bareilly,INC,"Rs 11,31,425 ~ 11 Lacs+",175,225,Shri  Praveen Singh  Aron                                              ,15,2,Uttar Pradesh                                               ,26,25,69,PRAVEEN SINGH ARON,INC,1,Graduate Professional,"Rs 28,80,19,293  ~ 28 Crore+","Rs 3,26,22,036  ~ 3 Crore+"
54,61,Sanjay Bhoi,Bargarh,INC,"Rs 6,73,444 ~ 6 Lacs+",221,274,Shri  Sanjay  Bhoi                                              ,15,2,Orissa                                                      ,26,26,70,Sanjay Bhoi,INC,0,Graduate,"Rs 17,00,000  ~ 17 Lacs+",Rs 0  ~
55,62,Harish choudhary,Barmer,INC,"Rs 16,29,533 ~ 16 Lacs+",184,234,Shri  Harish  Choudhary                                         ,15,2,Rajasthan                                                   ,26,25,71,Harish choudhary,INC,0,Graduate,"Rs 49,53,849  ~ 49 Lacs+","Rs 12,95,812  ~ 12 Lacs+"
56,63,ISMAIL HUSSAIN,Barpeta,INC,"Rs 19,70,626 ~ 19 Lacs+",55,92,Shri  Ismail Hussain  ,15,2,Assam                                                       ,26,25,72,ISMAIL HUSSAIN,INC,0,Post Graduate,"Rs 99,31,726  ~ 99 Lacs+",Rs 0  ~
57,64,DINESH TRIVEDI,Barrackpur,AITC,"Rs 13,01,967 ~ 13 Lacs+",265,318,Shri  Dinesh  Trivedi                                           ,15,2,West Bengal                                                 ,26,22,73,DINESH TRIVEDI,AITC,0,Post Graduate,"Rs 2,72,03,930  ~ 2 Crore+",Rs 0  ~
58,65,SK. NURUL ISLAM,Basirhat,AITC,"Rs 17,29,056 ~ 17 Lacs+",256,309,Shri  S.K. Nurul  Islam                                             ,15,2,West Bengal                                                 ,26,14,74,SK. NURUL ISLAM,AITC,0,12th Pass,"Rs 11,55,500  ~ 11 Lacs+","Rs 8,07,500  ~ 8 Lacs+"
59,67,ARVIND KUMAR CHAUDHARY,Basti,BSP,"Rs 20,90,905 ~ 20 Lacs+",290,344,Shri  Arvind Kumar  Chaudhary                                         ,15,2,Uttar Pradesh                                               ,26,26,76,ARVIND KUMAR CHAUDHARY,BSP,0,12th Pass,"Rs 1,86,43,936  ~ 1 Crore+",Rs 0  ~
60,68,HARSIMRAT KAUR,Bathinda,SAD,"Rs 11,00,204 ~ 11 Lacs+",335,389,Smt.  Harsimrat Kaur  Badal                                             ,15,2,Punjab                                                      ,26,10,77,HARSIMRAT KAUR,SAD,0,10th Pass,"Rs 60,31,00,135  ~ 60 Crore+","Rs 13,800  ~ 13 Thou+"
61,69,MUNDE GOPINATHRAO PANDURANG,Beed,BJP,"Rs 19,36,922 ~ 19 Lacs+",399,456,Shri   Gopinathrao  Pandurang   Munde                                 ,15,2,Maharashtra                                                 ,26,17,78,MUNDE GOPINATHRAO PANDURANG,BJP,4,Graduate Professional,"Rs 6,22,50,603  ~ 6 Crore+","Rs 4,50,90,238  ~ 4 Crore+"
62,70,Sidhant Mohapatra,Berhampur,BJD,"Rs 16,49,751 ~ 16 Lacs+",385,441,Shri  Sidhant  Mohapatra                                         ,15,2,Orissa                                                      ,26,26,82,Sidhant Mohapatra,BJD,0,Post Graduate,"Rs 48,28,474  ~ 48 Lacs+","Rs 1,18,884  ~ 1 Lacs+"
63,71,JYOTI DHURVE,Betul,BJP,"Rs 8,61,555 ~ 8 Lacs+",483,542,Smt.  Jyoti  Dhurve                                            ,15,2,Madhya Pradesh                                              ,26,21,83,JYOTI DHURVE,BJP,0,Post Graduate,"Rs 71,35,000  ~ 71 Lacs+","Rs 6,38,122  ~ 6 Lacs+"
64,73,Arjun Charan Sethi,Bhadrak,BJD,"Rs 15,37,869 ~ 15 Lacs+",312,367,Shri  Arjun Charan  Sethi                                             ,15,2,Orissa                                                      ,26,26,85,Arjun Charan Sethi,BJD,0,Post Graduate,"Rs 1,10,61,000  ~ 1 Crore+","Rs 25,00,000  ~ 25 Lacs+"
65,75,RATAN SINGH,Bharatpur,INC,"Rs 16,09,457 ~ 16 Lacs+",187,237,Shri  Ratan  Singh                                             ,15,2,Rajasthan                                                   ,26,24,87,RATAN SINGH,INC,0,Graduate Professional,"Rs 1,19,67,191  ~ 1 Crore+","Rs 3,35,314  ~ 3 Lacs+"
66,76,MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,"Rs 15,35,399 ~ 15 Lacs+",429,487,Shri  Mansukhbhai Dhanjibhai  Vasava                                            ,15,2,Gujarat                                                     ,26,23,88,MANSUKHBHAI DHANJIBHAI VASAVA,BJP,0,Graduate,"Rs 24,41,000  ~ 24 Lacs+","Rs 8,33,462  ~ 8 Lacs+"
67,77,RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,"Rs 14,43,130 ~ 14 Lacs+",417,476,Shri  Rajendrasinh  Rana                                              ,15,2,Gujarat                                                     ,26,24,89,RAJENDRASINH GHANSHYAMSINH RANA,BJP,0,Graduate Professional,"Rs 55,08,711  ~ 55 Lacs+",Rs 0  ~
68,79,ASHOK ARGAL,Bhind,BJP,"Rs 9,42,287 ~ 9 Lacs+",433,491,Shri  Ashok  Argal                                             ,15,2,Madhya Pradesh                                              ,26,21,91,ASHOK ARGAL,BJP,4,12th Pass,"Rs 79,72,241  ~ 79 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
69,80,TAWARE SURESH KASHINATH,Bhiwandi,INC,"Rs 14,69,474 ~ 14 Lacs+",214,267,Shri   Suresh  Kashinath   Taware                                ,15,2,Maharashtra                                                 ,26,21,92,TAWARE SURESH KASHINATH,INC,0,Graduate,"Rs 10,90,39,952  ~ 10 Crore+","Rs 12,50,000  ~ 12 Lacs+"
70,81,SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,"Rs 12,70,746 ~ 12 Lacs+",113,160,Smt.  Shruti  Choudhry                                          ,15,2,Haryana                                                     ,26,23,93,SHRUTI CHOUDHRY,INC,0,Graduate Professional,"Rs 16,72,66,000  ~ 16 Crore+","Rs 1,70,00,000  ~ 1 Crore+"
71,82,KAILASH JOSHI,Bhopal,BJP,"Rs 10,44,402 ~ 10 Lacs+",414,473,Shri  Kailash  Joshi                                             ,15,2,Madhya Pradesh                                              ,26,23,95,KAILASH JOSHI,BJP,0,10th Pass,"Rs 58,85,927  ~ 58 Lacs+",Rs 0  ~
72,83,Prasanna Kumar Patasani,Bhubaneswar,BJD,"Rs 9,18,837 ~ 9 Lacs+",322,377,Shri  Prasanna  Kumar Patasani                                    ,15,2,Orissa                                                      ,26,24,96,Prasanna Kumar Patasani,BJD,0,Post Graduate,"Rs 14,77,178  ~ 14 Lacs+",Rs 0  ~
73,84,Jigajinagi Ramesh Chandappa,Bijapur,BJP,"Rs 6,86,056 ~ 6 Lacs+",443,501,Shri  Ramesh Chandappa  Jigajinagi                                        ,15,2,Karnataka                                                   ,26,21,98,Jigajinagi Ramesh Chandappa,BJP,0,Graduate,"Rs 1,17,53,725  ~ 1 Crore+","Rs 39,02,460  ~ 39 Lacs+"
74,85,SANJAY SINGH CHAUHAN,Bijnor,RLD,"Rs 12,94,228 ~ 12 Lacs+",97,142,Shri  Sanjay Singh  Chauhan                                           ,15,2,Uttar Pradesh                                               ,26,19,99,SANJAY SINGH CHAUHAN,RLD,0,Graduate Professional,"Rs 3,53,52,625  ~ 3 Crore+","Rs 52,54,245  ~ 52 Lacs+"
75,86,ARJUN RAM MEGHWAL,Bikaner,BJP,"Rs 10,03,168 ~ 10 Lacs+",470,529,Shri  Arjun Ram  Meghwal                                           ,15,2,Rajasthan                                                   ,26,26,100,ARJUN RAM MEGHWAL,BJP,0,Post Graduate,"Rs 25,63,467  ~ 25 Lacs+",Rs 0  ~
76,88,SATABDI ROY (BANERJEE),Birbhum,AITC,"Rs 10,97,610 ~ 10 Lacs+",284,338,Smt.  Satabdi  Roy                                               ,15,2,West Bengal                                                 ,26,23,101,SATABDI ROY (BANERJEE),AITC,0,12th Pass,"Rs 1,31,48,000  ~ 1 Crore+","Rs 5,26,321  ~ 5 Lacs+"
77,89,Susmita Bauri,Bishnupur,CPM,"Rs 13,06,006 ~ 13 Lacs+",272,325,Smt.  Susmita  Bauri                                             ,15,2,West Bengal                                                 ,26,25,102,Susmita Bauri,CPM,0,Graduate Professional,"Rs 10,78,000  ~ 10 Lacs+","Rs 1,74,660  ~ 1 Lacs+"
78,90,KALIKESH NARAYAN SINGH DEO,Bolangir,BJD,"Rs 20,01,321 ~ 20 Lacs+",372,428,Shri  Kalikesh N. Singh  Deo                                               ,15,2,Orissa                                                      ,26,21,103,KALIKESH NARAYAN SINGH DEO,BJD,2,Graduate,"Rs 3,61,48,185  ~ 3 Crore+","Rs 14,31,104  ~ 14 Lacs+"
79,91,RAM CHANDRA DOME,Bolpur,CPM,"Rs 14,60,806 ~ 14 Lacs+",242,296,Dr.  Ram Chandra  Dome                                              ,15,2,West Bengal                                                 ,26,23,104,RAM CHANDRA DOME,CPM,0,Graduate Professional,"Rs 7,39,396  ~ 7 Lacs+",Rs 0  ~
80,92,KAMLESH,Bulandshahr,SP,"Rs 14,90,747 ~ 14 Lacs+",289,343,Shri  Kamlesh  Balmiki                                           ,15,2,Uttar Pradesh                                               ,26,20,105,KAMLESH,SP,0,5th Pass,"Rs 8,44,005  ~ 8 Lacs+",Rs 0  ~
81,93,JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS,"Rs 17,62,603 ~ 17 Lacs+",356,412,Shri   Prataprao  Ganpatrao Jadhav                                  ,15,2,Maharashtra                                                 ,26,12,106,JADHAV PRATAPRAO GANPATRAO,SHS,10,Graduate,"Rs 1,20,52,820  ~ 1 Crore+","Rs 45,41,550  ~ 45 Lacs+"
